Palavra,Frequencia
ponta,244
baronesa,244
advogado,244
inutil,244
fiquei,244
entusiasmo,243
negocios,243
proprios,243
meteu,243
correr,243
verso,243
noiva,243
lembrar,242
santo,242
eterno,242
poetas,242
sinto,241
destas,241
pernas,241
genero,241
atos,241
sentar,240
cheia,240
admiracao,240
murmurou,240
obrigado,240
belas,240
leve,239
outrora,239
assis,239
mostrou,238
mamae,238
joana,238
portas,238
missa,237
ilustre,237
entender,237
beijo,237
andava,236
piano,236
puro,236
superior,236
indiferenca,235
esquecer,235
antonio,235
indo,234
cerca,234
linguagem,234
grito,233
responder,233
quadro,232
genio,232
mariana,232
salvo,232
saude,232
dize,231
digno,231
gostava,231
existencia,231
direita,230
banco,230
cao,230
quisera,230
mesmas,230
valor,230
relacoes,229
mandar,229
possa,229
disseram,229
animo,229
decerto,228
roda,228
dao,228
juntos,228
visitas,227
levava,227
ficaram,227
entrada,227
originalmente,226
conhecer,226
ilusao,226
terceiro,226
par,226
branco,226
cesar,225
anterior,225
relogio,225
navio,224
flora,224
perde,224
face,224
patria,224
falo,223
eterna,223
imprensa,222
pedra,222
raquel,222
perigo,222
observacao,222
clubin,221
vossa,221
fazenda,221
partido,221
ficara,220
leis,220
aceitou,220
tristao,220
bastante,220
escolha,220
sikes,219
dumont,219
rita,219
comer,219
costas,219
elegante,219
profundo,219
teofilo,218
deixava,218
aquelas,218
molestia,218
faco,218
ouvindo,218
batista,217
meios,217
veja,217
seculos,217
namoro,217
breve,217
sobrinha,217
comocao,217
ultimas,216
compreendeu,216
efetivamente,216
chega,216
ministerio,215
fidelia,215
cavalos,215
golpe,215
precisa,215
misterio,215
bolso,214
goncalves,214
aguas,214
tera,214
republica,214
doenca,214
provavel,214
vivo,214
infeliz,213
deruchette,212
davam,212
cinquenta,212
cruz,212
seio,211
espanto,211
fizesse,210
amado,210
janelas,210
estando,210
imperio,209
notas,209
humano,209
daqueles,209
iv,208
eulalia,208
sequer,208
acordo,208
vitoria,208
desespero,208
dona,208
henriqueta,208
juizo,208
leitura,207
paciencia,207
lenco,207
interessante,207
gosta,207
viesse,207
aberta,206
devem,206
maneiras,206
pouca,206
imagem,206
promessa,206
bumble,206
suspeita,205
chamou,205
vinham,205
durande,205
artigo,204
vaga,204
colera,204
letra,204
pronto,204
ternura,203
carmo,203
estamos,203
franca,203
municipal,203
haja,203
abismo,202
procurou,202
virgilia,202
palha,202
querer,202
ergueu,202
perfeitamente,201
desceu,201
tratava,201
manda,201
entrava,201
acabado,201
busca,201
exa,201
sabem,200
termo,200
profunda,200
comissao,200
benedita,200
provincia,199
odio,199
loja,199
chacara,199
acrescentou,199
projeto,199
rumor,199
espiritos,199
lulu,199
parede,199
subir,198
sos,198
desembargador,198
preto,198
marco,198
trazer,198
levantar,197
felizes,197
terrivel,197
diria,197
saudade,197
reflexoes,196
cem,196
novos,196
palida,196
fizera,196
matar,196
longos,195
verde,195
pedaco,195
terceira,195
calor,195
cuidado,195
resolveu,195
camoes,194
comecava,194
politico,194
chefe,194
